20.智能驾驶功能会影响您购买新能源汽车的决策?_异常值处理,7.您的家庭常住人口数是?_3.0_哑变量化,7.您的家庭常住人口数是?_2.0_哑变量化,6.您的月收入范围是?_4.0_哑变量化,6.您的月收入范围是?_3.0_哑变量化,6.您的月收入范围是?_2.0_哑变量化,5.您的职业是?_4.0_哑变量化,5.您的职业是?_3.0_哑变量化,5.您的职业是?_2.0_哑变量化,4.您的最高学历是?_4.0_哑变量化,4.您的最高学历是?_3.0_哑变量化,4.您的最高学历是?_2.0_哑变量化,2.您的年龄是?_5.0_哑变量化,2.您的年龄是?_4.0_哑变量化,2.您的年龄是?_3.0_哑变量化,2.您的年龄是?_2.0_哑变量化,14.您通常驾驶的车辆类型是?_4.0_哑变量化,14.您通常驾驶的车辆类型是?_3.0_哑变量化,14.您通常驾驶的车辆类型是?_2.0_哑变量化,13.您通常的驾驶时间段是?_4.0_哑变量化,13.您通常的驾驶时间段是?_3.0_哑变量化,13.您通常的驾驶时间段是?_2.0_哑变量化,12.您每周驾驶的频率是?_5.0_哑变量化,12.您每周驾驶的频率是?_4.0_哑变量化,12.您每周驾驶的频率是?_3.0_哑变量化,12.您每周驾驶的频率是?_2.0_哑变量化,11.您每天的日常通勤距离大约是?_5.0_哑变量化,11.您每天的日常通勤距离大约是?_4.0_哑变量化,11.您每天的日常通勤距离大约是?_3.0_哑变量化,11.您每天的日常通勤距离大约是?_2.0_哑变量化,10.您驾驶的主要目的是?_4.0_哑变量化,10.您驾驶的主要目的是?_3.0_哑变量化,10.您驾驶的主要目的是?_2.0_哑变量化,9.您的驾龄是?_5.0_哑变量化,9.您的驾龄是?_4.0_哑变量化,9.您的驾龄是?_3.0_哑变量化,9.您的驾龄是?_2.0_哑变量化,1.您的性别是?_2.0_哑变量化,1.您的性别是?,2.您的年龄是?,3.您所在的区域是?,4.您的最高学历是?,5.您的职业是?,6.您的月收入范围是?,7.您的家庭常住人口数是?,8.您未来购买汽车的意向是?,9.您的驾龄是?,10.您驾驶的主要目的是?,11.您每天的日常通勤距离大约是?,12.您每周驾驶的频率是?,13.您通常的驾驶时间段是?,14.您通常驾驶的车辆类型是?,15.您认为智能驾驶功能对新能源汽车很重要?,16.您认为智能驾驶功能可以提高驾驶安全性?,17.您认为智能驾驶功能可以减轻驾驶疲劳?,18.您认为智能驾驶功能可以提升驾驶乐趣?,19.您认为智能驾驶功能可以提高出行效率?,20.智能驾驶功能会影响您购买新能源汽车的决策?,21.您愿意为智能驾驶功能支付溢价?,22.您愿意为智能驾驶的自适应巡航功能影响购买意愿?,23.您愿意为智能驾驶的车道保持辅助功能影响购买意愿?,24.您愿意为智能驾驶的自动泊车功能影响购买意愿?,25.您愿意为智能驾驶的交通拥堵辅助功能影响购买意愿?,26.您愿意为智能驾驶未来技术更加成熟影响购买意愿?,27.您愿意为智能驾驶未来安全性更高影响购买意愿?,28.您愿意为智能驾驶未来成本更低影响购买意愿?,29.您愿意为智能驾驶未来应用场景更丰富影响购买意愿?
3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,2,4,7.0,3,1,2,3,2,4,2,2,2,4,4,4,3,3,4,4,4,2,3,4,3,4,2,3,4,3
2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1.0,1,3,3,1,1,2,4,2,2,1,2,4,4,3,4,2,3,4,3,3,3,4,4,4,4,4
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2,5,5.0,1,1,1,1,2,2,3,3,4,2,1,4,4,4,4,3,4,4,3,3,4,4,4,3,4,2
1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,3,2.0,3,2,2,1,3,2,2,5,4,4,1,2,2,2,2,3,2,2,2,1,2,1,2,3,3,3
3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,2,3,2.0,2,1,2,1,2,3,4,5,2,1,4,5,3,4,5,4,4,3,4,5,3,5,3,5,3,3
3,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,2,3,1.0,4,1,4,2,2,2,4,2,2,1,1,5,4,4,4,5,5,5,5,5,4,5,5,4,4,4
3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2,1,2.0,4,3,4,1,3,4,3,3,2,2,1,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5
3,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2,5,2.0,2,1,2,2,2,4,1,2,2,2,2,5,5,5,4,5,4,4,5,5,5,5,5,4,5,4
3,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,5,2.0,2,1,4,3,1,1,1,2,1,4,4,5,4,4,4,5,5,5,4,5,5,4,5,5,4,5
3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,2,2,5.0,1,3,2,2,2,2,3,4,3,2,1,4,4,4,4,4,5,5,5,5,5,4,5,4,5,5
3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,7.0,4,2,1,2,3,1,1,2,4,2,2,5,4,5,4,4,5,4,3,5,3,3,3,5,5,4
1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,2,4,6.0,2,3,3,3,2,2,2,2,2,1,3,1,1,3,2,3,2,3,3,2,1,3,3,2,3,3
2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,4.0,1,1,2,3,1,2,1,2,5,3,3,2,2,1,2,2,3,2,3,2,3,3,3,3,4,2
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,2,2.0,1,3,1,3,2,2,3,5,2,1,1,4,4,3,4,3,2,4,4,4,3,3,4,4,4,2
2,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3,2.0,4,2,4,2,1,1,2,1,3,4,2,3,3,2,2,4,3,3,3,3,2,2,2,2,3,2
3,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,4,2.0,4,2,2,3,3,1,4,5,2,1,1,5,5,5,4,5,5,4,4,5,5,5,4,5,4,5
3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,1,1.0,3,1,1,3,1,3,4,3,5,1,1,5,5,5,5,5,4,4,5,5,5,4,5,5,5,4
3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,5.0,1,1,2,1,2,1,2,5,3,2,1,5,5,5,5,5,5,4,5,4,4,5,4,5,5,4
3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,2,1,1.0,1,1,2,2,2,2,2,3,5,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,2,2,3.0,4,3,2,3,1,2,2,4,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,3.0,2,2,2,2,2,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3
3,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,2,1,1.0,3,2,2,3,3,3,2,4,2,2,3,4,3,4,3,4,4,3,3,3,2,4,4,3,3,3
3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,2,1,2.0,3,2,2,1,1,2,4,3,1,2,3,1,3,2,2,2,4,3,4,3,3,3,3,2,3,4
2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,1,8.0,4,1,1,3,1,1,3,2,1,1,2,4,4,3,4,3,3,4,2,4,4,4,4,3,3,3
3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,2,2.0,4,2,1,1,2,3,2,1,4,2,1,5,3,5,5,4,4,4,4,5,4,3,4,3,3,3
3,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2,5,2.0,4,2,4,1,2,4,4,4,5,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,2,1,1.0,4,2,2,2,2,2,2,2,3,1,2,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4
3,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,5,3.0,4,1,3,2,3,3,3,2,1,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2,1,2.0,1,2,1,2,2,2,3,4,5,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,1.0,2,1,4,3,1,1,1,2,5,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,2,5.0,4,1,4,2,2,1,2,2,4,3,2,4,3,4,4,4,3,4,2,4,4,4,3,5,4,3
3,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,6.0,4,3,2,2,3,3,2,1,5,2,3,5,4,4,5,3,5,4,4,3,5,5,3,4,5,3
2,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,3,3.0,2,2,4,2,1,1,1,2,2,2,1,3,3,2,4,2,3,4,2,3,3,3,3,3,3,2
2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1.0,2,1,1,3,1,1,4,3,1,4,3,3,3,2,3,2,3,2,3,3,3,2,2,3,3,3
3,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,5,2.0,3,3,3,2,2,1,1,3,2,1,2,5,4,5,4,3,5,5,4,3,4,3,3,4,4,5
3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,1,3.0,4,2,3,1,2,3,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,2,1,6.0,1,3,1,3,1,3,4,2,2,2,3,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5
3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,2,2,7.0,2,2,1,3,3,2,2,3,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,2,5,1.0,4,2,4,2,1,3,4,2,1,2,1,4,4,4,4,4,4,4,4,4,5,5,4,5,4,5
3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,4.0,4,3,3,1,1,2,2,1,4,2,2,5,5,5,5,4,5,4,4,4,5,5,5,4,5,4
3,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,2,5,6.0,4,2,2,3,1,5,2,1,2,2,3,5,4,3,5,3,4,4,3,3,5,5,5,5,4,4
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2,1,1.0,1,1,1,2,1,2,1,3,2,1,4,5,3,3,3,4,3,4,5,5,5,4,3,4,3,5
2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,2,2.0,4,3,4,2,1,2,4,1,3,4,2,2,2,1,3,1,3,3,2,2,2,3,2,2,2,3
3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1.0,2,1,3,2,3,4,3,5,2,1,3,5,5,3,4,5,4,5,5,4,3,5,3,3,4,3
3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,1.0,3,1,3,3,2,2,2,1,5,4,1,5,3,4,4,5,4,3,3,5,5,3,4,4,3,5
3,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,3,8.0,4,2,1,2,2,2,2,5,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2,2,2.0,4,3,2,1,1,2,3,5,1,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,2,3,1.0,1,2,1,2,2,1,4,2,2,1,1,5,5,4,5,5,4,5,5,4,5,5,5,4,4,4
3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,2,2.0,1,2,1,3,3,5,1,1,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2.0,1,3,1,2,2,2,1,2,1,1,4,5,5,5,5,4,5,5,4,5,5,5,5,5,4,5
1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,2,4,1.0,2,2,2,2,3,3,3,2,4,3,1,1,1,2,1,1,1,1,2,1,3,1,1,2,1,4
2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,5,6.0,1,2,3,1,2,2,1,4,1,1,2,3,2,3,2,3,3,3,3,2,3,3,2,3,4,2
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,2,2,2.0,2,1,1,2,2,4,3,3,5,1,2,3,3,2,3,4,2,3,2,3,3,2,2,3,2,3
1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,2,6.0,3,2,4,3,2,4,1,2,1,3,4,3,2,2,3,3,2,4,3,2,3,4,3,3,3,3
3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,2,2,6.0,4,1,1,1,2,4,2,3,1,1,1,5,3,5,3,5,5,3,5,3,3,3,4,4,4,5
3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4.0,1,1,2,1,1,1,2,1,1,1,4,4,4,4,4,4,4,4,4,5,4,5,5,5,5,4
3,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,3,5.0,4,3,2,2,2,3,3,3,5,2,4,5,5,5,5,5,5,5,4,5,4,4,4,5,4,4
3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,4,2.0,1,1,3,1,1,4,2,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,4,6.0,3,2,2,1,1,2,1,4,2,1,3,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5
3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2,1,1.0,3,3,1,3,3,2,2,4,5,4,1,5,5,4,5,4,5,4,4,5,5,4,4,5,4,4
2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,4,8.0,2,1,1,3,1,3,3,3,5,1,2,4,2,4,4,2,3,3,3,4,2,4,4,4,3,4
2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,2.0,1,1,4,2,1,4,3,1,3,2,1,5,4,5,5,5,3,5,5,3,4,5,4,4,3,4
1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,7.0,3,3,2,2,1,3,2,3,2,3,1,4,3,4,3,3,2,1,1,2,2,1,2,1,2,1
2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,2,4.0,4,1,3,3,2,1,4,1,2,1,4,2,2,3,3,2,3,2,1,2,1,1,1,2,3,1
1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,1,8.0,4,3,3,2,2,1,2,3,4,2,3,1,2,2,1,1,2,2,1,1,2,1,1,1,2,1
3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,2,2.0,1,3,3,3,1,2,1,3,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,2,2,1.0,4,3,3,2,2,3,1,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,2,2.0,2,2,1,3,2,2,1,3,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,8.0,2,1,4,2,3,1,1,4,5,1,2,5,4,5,4,5,5,5,4,5,4,4,4,4,5,5
3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,2,2,1.0,1,3,2,2,3,5,2,5,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3.0,3,3,3,2,2,1,1,1,2,2,3,3,2,4,3,4,2,3,4,2,4,3,2,3,4,3
2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,2,1,8.0,3,3,2,1,1,3,1,3,2,2,1,4,2,3,4,4,3,4,3,4,3,3,2,3,4,4
2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,2,2.0,3,3,2,2,2,1,2,1,2,2,2,4,4,2,2,2,3,2,4,3,4,4,3,3,2,4
2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,7.0,1,2,1,2,3,1,2,2,3,4,3,5,3,5,3,3,3,5,3,4,3,3,2,3,3,2
3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1.0,1,2,1,1,2,5,1,1,1,2,1,4,4,3,4,2,4,4,3,3,4,3,4,2,4,4
3,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,2,5,3.0,2,1,2,2,1,3,3,2,2,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,2,5.0,3,3,2,3,1,2,1,4,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,2,3.0,2,2,2,2,2,4,4,4,1,2,1,4,4,4,4,4,4,5,4,5,5,4,5,4,5,5
3,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,2,4,8.0,3,2,4,1,3,1,4,2,2,1,3,5,4,5,4,5,5,5,5,5,4,5,5,5,5,4
3,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,2,5,2.0,3,3,4,2,1,2,2,4,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,3,8.0,1,1,2,1,3,2,3,1,2,2,1,4,3,4,3,3,4,4,3,2,4,3,3,4,2,4
3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,2,2,2.0,1,1,2,2,2,2,1,2,2,4,1,5,3,4,5,5,4,3,4,4,3,5,4,4,1,2
2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,2.0,1,2,2,1,1,1,2,3,1,2,1,5,5,3,5,5,3,4,3,4,4,5,3,4,3,5
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,3,2.0,3,1,2,1,2,3,1,2,4,2,1,4,4,4,4,3,2,2,3,3,4,4,3,4,4,2
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,2,2.0,1,1,4,1,3,2,2,2,1,4,1,1,4,2,4,3,2,3,3,2,2,3,2,3,2,2
3,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,8.0,2,1,2,3,1,1,2,1,1,4,1,5,4,5,5,5,5,5,4,5,5,5,4,4,4,4
3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,4.0,2,3,1,2,2,1,1,3,1,1,4,5,5,4,5,3,4,3,5,3,2,2,3,3,4,2
3,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,2,2,2.0,2,3,3,2,2,2,3,3,2,1,2,4,4,4,4,5,4,5,5,5,5,5,5,5,4,4
3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,1.0,3,1,1,1,2,1,1,3,1,2,2,5,4,4,5,5,5,4,4,4,5,5,4,4,5,5
2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,2,3,1.0,2,2,2,2,1,4,2,3,2,2,4,4,2,4,3,3,3,4,2,4,4,4,4,4,4,2
3,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,5,3.0,2,1,2,3,1,3,3,1,5,4,2,5,5,5,4,5,4,4,4,5,4,5,5,5,5,5
